id,first_name,last_name,email,birth_year,country,gender,income
2276,diana,johnson,diana.johnson..@yahoo.com,1973,ES,male,33170.95
115,bob,miller,bob.miller@yahoo.com,1950,FR,female,28890.79
808,grace,davis,grace.davis@hotmail.com,1942,DE,male,17925.5
15,hugo,davis,hugo.davis@yahoo.com,1992,FR,female,20132.48
2243,grace,brown,grace.brown@hotmail.com,2009,FRANCE,female,17214.2
2179,bob,brown,bob.brown..@example.com,1992,FR,female,39414.09
1390,grace,garcia,grace.garcia@gmail.com,1968,FRANCE,male,42031.93
430,hugo,johnson,hugo.johnson@hotmail.com,1954,GERMANY,male,40390.84
3074,diana,garcia,diana.garcia..@example.com,1955,ES,male,35970.72
2512,hugo,miller,hugo.miller@example.com,1954,DE,female,17216.63
3713,hugo,brown,hugo.brown@example.com,2014,GERMANY,female,9693.68
4730,bob,garcia,bob.garcia@yahoo.com,1943,FR,male,22417.65
1467,diana,miller,diana.miller@yahoo.com,1974,ES,female,25586.36
3918,frank,garcia,frank.garcia@hotmail.com,1973,ES,male,46681.51
1341,bob,smith,bob.smith..@hotmail.com,2013,ES,male,50438.44
3801,grace,miller,grace.miller@gmail.com,1948,SPAIN,male,1504.95
82,charlie,williams,charlie.williams..@hotmail.com,1973,ES,female,22413.8
2454,eva,williams,eva.williams@yahoo.com,1944,ES,female,55561.53
4114,bob,johnson,bob.johnson@example.com,1992,DE,female,35486.4
4689,frank,brown,frank.brown@gmail.com,1975,FR,male,9365.49
3767,hugo,brown,hugo.brown@hotmail.com,1980,ES,female,28766.19
2520,bob,jones,bob.jones@gmail.com,2017,FR,female,13047.32
961,frank,jones,frank.jones@yahoo.com,2022,DE,female,17640.97
2310,bob,miller,bob.miller..@yahoo.com,1975,SPAIN,male,36517.54
1850,charlie,johnson,charlie.johnson@yahoo.com,1956,FRANCE,female,30019.89
3380,alice,johnson,alice.johnson@gmail.com,1960,ES,female,44458.88
614,bob,williams,bob.williams@gmail.com,1981,FRANCE,male,45871.77
4495,hugo,johnson,hugo.johnson..@hotmail.com,1951,FR,male,24143.87
2497,hugo,davis,hugo.davis@example.com,1977,DE,female,37192.61
2639,grace,jones,grace.jones..@hotmail.com,1960,ES,male,18361.88
2284,diana,miller,diana.miller@example.com,1947,FR,female,51212.81
3213,hugo,smith,hugo.smith@yahoo.com,1972,ES,male,39184.98
2074,hugo,williams,hugo.williams@example.com,1970,FR,female,35354.59
2197,charlie,jones,charlie.jones@example.com,1970,FRANCE,female,22972.56
1776,hugo,garcia,hugo.garcia@gmail.com,2021,ES,female,39133.58
472,grace,brown,grace.brown@example.com,2002,FRANCE,male,25752.92
2498,charlie,miller,charlie.miller@example.com,2021,GERMANY,male,40934.12
4614,alice,johnson,alice.johnson@example.com,1987,FR,male,44502.11
1192,eva,smith,eva.smith@hotmail.com,1980,ES,male,22075.54
1133,alice,smith,alice.smith@gmail.com,2005,FR,male,18269.95
2120,hugo,williams,hugo.williams@yahoo.com,1972,GERMANY,female,40828.55
2309,bob,garcia,bob.garcia@yahoo.com,1995,ES,male,24214.91
392,charlie,jones,charlie.jones@hotmail.com,1981,SPAIN,male,20126.27
297,charlie,brown,charlie.brown..@gmail.com,2014,FR,female,20940.29
2048,charlie,johnson,charlie.johnson@gmail.com,1941,ES,male,15749.05
3050,alice,brown,alice.brown@example.com,1972,ES,male,27476.11
429,diana,smith,diana.smith@hotmail.com,2009,ES,male,33378.96
2242,diana,williams,diana.williams@hotmail.com,2005,DE,female,50608.72
3510,frank,garcia,frank.garcia@hotmail.com,2005,FR,male,33864.01
2055,diana,brown,diana.brown@hotmail.com,1953,ES,female,27136.92
4386,diana,miller,diana.miller@example.com,1971,SPAIN,female,35992.04
2890,diana,miller,diana.miller@yahoo.com,1973,FR,male,28349.92
3712,alice,johnson,alice.johnson@example.com,1994,FR,female,14430.13
537,alice,jones,alice.jones@yahoo.com,1983,GERMANY,female,7998.22
1037,eva,davis,eva.davis@gmail.com,1962,FR,female,31097.95
3684,grace,williams,grace.williams..@example.com,1956,ES,female,49591.08
1722,frank,brown,frank.brown@example.com,1962,GERMANY,male,17630.82
4589,frank,williams,frank.williams@example.com,1961,GERMANY,female,32409.75
3550,eva,garcia,eva.garcia@hotmail.com,1967,FRANCE,male,49178.63
3978,diana,brown,diana.brown@hotmail.com,1948,ES,male,65481.12
980,frank,jones,frank.jones@gmail.com,2014,FRANCE,female,43419.71
2162,grace,williams,grace.williams@yahoo.com,2021,DE,female,29139.07
3514,charlie,jones,charlie.jones@hotmail.com,1949,FR,male,16939.08
4249,frank,smith,frank.smith@gmail.com,2010,GERMANY,male,20500.91
3325,frank,miller,frank.miller@gmail.com,1998,GERMANY,male,50521.19
4439,hugo,jones,hugo.jones@yahoo.com,1954,DE,male,38380.86
558,bob,jones,bob.jones@hotmail.com,1968,FRANCE,female,1752.75
2090,grace,jones,grace.jones..@example.com,2015,ES,female,30290.16
917,charlie,davis,charlie.davis@gmail.com,2018,DE,male,39608.14
2676,frank,williams,frank.williams@example.com,2018,FRANCE,female,26095.36
4433,charlie,smith,charlie.smith@example.com,1994,FR,male,9418.81
4650,frank,jones,frank.jones@hotmail.com,2012,GERMANY,female,29766.55
4036,hugo,williams,hugo.williams@yahoo.com,2023,DE,male,41654.05
2754,alice,jones,alice.jones@yahoo.com,1979,DE,female,32240.13
1474,eva,davis,eva.davis@example.com,1983,GERMANY,male,7043.08
4622,bob,williams,bob.williams@hotmail.com,2007,DE,female,30178.21
4394,eva,garcia,eva.garcia@hotmail.com,2025,FR,female,15265.14
338,diana,williams,diana.williams..@gmail.com,1969,SPAIN,female,17305.26
1688,bob,miller,bob.miller@gmail.com,2001,DE,female,43508.0
1052,charlie,davis,charlie.davis@gmail.com,1963,SPAIN,female,42592.03
4851,bob,davis,bob.davis@gmail.com,1989,SPAIN,female,26034.66
4432,eva,miller,eva.miller@hotmail.com,1986,GERMANY,male,15948.07
2322,hugo,davis,hugo.davis@yahoo.com,2025,FR,female,14552.82
2036,hugo,davis,hugo.davis@example.com,1957,DE,female,15560.23
245,frank,miller,frank.miller@gmail.com,2012,DE,female,-11212.57
4116,alice,garcia,alice.garcia@yahoo.com,2007,FRANCE,female,-5773.58
1806,eva,jones,eva.jones@hotmail.com,1968,FR,female,18579.67
3759,alice,johnson,alice.johnson@example.com,1993,ES,female,43200.99
4878,hugo,garcia,hugo.garcia@hotmail.com,2001,FR,female,26289.89
2033,hugo,miller,hugo.miller@gmail.com,1997,FR,female,37203.91
625,charlie,johnson,charlie.johnson..@example.com,2015,FR,male,39981.25
2341,bob,smith,bob.smith..@yahoo.com,1958,FRANCE,male,12030.5
708,grace,johnson,grace.johnson@gmail.com,1942,DE,female,53858.73
3945,eva,smith,eva.smith@gmail.com,2024,ES,female,53912.67
4042,grace,davis,grace.davis@example.com,1997,DE,male,34020.76
4468,alice,jones,alice.jones@hotmail.com,2003,ES,male,27759.58
1963,alice,smith,alice.smith@yahoo.com,1961,GERMANY,female,54526.0
4578,grace,garcia,grace.garcia@hotmail.com,1959,DE,male,53327.98
4478,diana,smith,diana.smith@example.com,2007,ES,female,24522.71
68,hugo,brown,hugo.brown@example.com,2020,ES,male,30358.55
1297,alice,smith,alice.smith@example.com,1942,SPAIN,female,48742.57
1965,hugo,garcia,hugo.garcia@example.com,1942,DE,female,13617.88
769,charlie,johnson,charlie.johnson@example.com,2016,ES,female,26662.88
157,frank,johnson,frank.johnson@example.com,1991,DE,female,38596.92
3986,bob,smith,bob.smith@example.com,1984,DE,male,-742.72
1416,grace,miller,grace.miller..@hotmail.com,2010,GERMANY,male,33095.43
4840,grace,brown,grace.brown@yahoo.com,1948,ES,male,24701.04
4244,charlie,jones,charlie.jones@example.com,1973,FRANCE,female,27164.79
2260,diana,garcia,diana.garcia@hotmail.com,1982,ES,male,39056.86
1477,hugo,jones,hugo.jones@gmail.com,2000,ES,male,26359.52
3582,bob,brown,bob.brown@example.com,1976,SPAIN,female,29515.85
2781,diana,miller,diana.miller..@yahoo.com,1985,FR,female,30508.54
1421,charlie,williams,charlie.williams@yahoo.com,2024,FR,male,41248.5
2759,diana,garcia,diana.garcia@gmail.com,1998,FR,male,1608.57
3344,bob,davis,bob.davis@hotmail.com,1950,ES,female,35893.7
507,grace,davis,grace.davis@hotmail.com,1958,FR,male,19385.61
3734,eva,garcia,eva.garcia@hotmail.com,1987,ES,female,49116.43
3930,grace,smith,grace.smith@hotmail.com,1990,SPAIN,female,49332.95
2975,grace,smith,grace.smith@gmail.com,1996,SPAIN,female,22335.16
83,grace,johnson,grace.johnson@example.com,2013,ES,male,14116.39
111,eva,miller,eva.miller@example.com,1940,DE,female,56332.14
1830,bob,johnson,bob.johnson@hotmail.com,1942,GERMANY,male,35810.57
2122,grace,johnson,grace.johnson@example.com,2017,DE,male,40032.6
3354,frank,smith,frank.smith@hotmail.com,1972,FR,female,37781.9
4880,grace,garcia,grace.garcia@gmail.com,1982,DE,male,40050.75
810,diana,smith,diana.smith@example.com,1951,ES,female,23795.77
963,bob,garcia,bob.garcia@yahoo.com,1980,DE,male,60747.18
4615,charlie,brown,charlie.brown@gmail.com,1960,DE,female,40787.53
2240,bob,jones,bob.jones@hotmail.com,2011,GERMANY,male,44517.39
4284,grace,jones,grace.jones@gmail.com,2008,FR,female,19242.27
2977,bob,jones,bob.jones@yahoo.com,2023,DE,male,27474.23
4465,charlie,johnson,charlie.johnson@gmail.com,2019,SPAIN,female,39498.38
1003,bob,jones,bob.jones@yahoo.com,1990,FR,female,15150.63
1889,eva,smith,eva.smith@hotmail.com,2011,SPAIN,female,29203.4
863,diana,smith,diana.smith@hotmail.com,2019,ES,male,30678.34
196,bob,smith,bob.smith@yahoo.com,1948,ES,female,25502.43
691,grace,davis,grace.davis@hotmail.com,1986,FR,male,43706.57
51,alice,davis,alice.davis..@yahoo.com,1943,SPAIN,male,14749.75
3223,bob,brown,bob.brown@gmail.com,2014,SPAIN,female,24977.96
1143,hugo,garcia,hugo.garcia@example.com,1995,GERMANY,male,14361.33
1858,diana,davis,diana.davis@example.com,2010,GERMANY,female,46152.72
1502,diana,smith,diana.smith@gmail.com,1965,ES,male,54575.4
1595,hugo,johnson,hugo.johnson@yahoo.com,1954,GERMANY,male,6554.49
2064,frank,jones,frank.jones@gmail.com,1974,ES,male,38669.68
3364,grace,williams,grace.williams@yahoo.com,1947,DE,female,21780.06
416,diana,garcia,diana.garcia@gmail.com,2025,SPAIN,male,17148.42
645,hugo,miller,hugo.miller@hotmail.com,2004,DE,male,6577.6
4600,alice,smith,alice.smith@example.com,1998,ES,female,15046.03
1282,alice,garcia,alice.garcia@yahoo.com,1957,FR,male,33363.52
3495,bob,williams,bob.williams@gmail.com,1972,FRANCE,female,17967.01
2046,eva,davis,eva.davis@hotmail.com,1953,GERMANY,male,39980.53
2913,hugo,davis,hugo.davis@example.com,1994,DE,male,27410.56
4980,alice,brown,alice.brown@example.com,1998,DE,male,35909.63
577,grace,brown,grace.brown@hotmail.com,1994,DE,female,5150.65
1665,alice,smith,alice.smith@yahoo.com,1944,ES,female,10389.45
1142,bob,williams,bob.williams@gmail.com,1991,DE,male,25099.56
2436,eva,jones,eva.jones@yahoo.com,1986,DE,male,31511.87
4290,alice,brown,alice.brown@hotmail.com,1965,GERMANY,male,13880.08
4580,charlie,davis,charlie.davis@gmail.com,1980,SPAIN,female,3911.92
3350,frank,smith,frank.smith@hotmail.com,1987,FR,female,24090.2
4797,grace,miller,grace.miller@yahoo.com,2015,SPAIN,male,18411.87
2094,eva,williams,eva.williams@yahoo.com,2023,DE,male,37101.11
2770,grace,miller,grace.miller@gmail.com,1960,SPAIN,female,46778.25
1409,diana,williams,diana.williams@gmail.com,1996,DE,male,28434.86
884,diana,jones,diana.jones..@hotmail.com,2021,GERMANY,female,54437.5
2130,eva,smith,eva.smith@example.com,1968,ES,male,41950.53
2267,frank,garcia,frank.garcia..@yahoo.com,1975,FRANCE,male,22552.02
1513,hugo,jones,hugo.jones@example.com,2025,ES,female,31291.66
2848,diana,johnson,diana.johnson@example.com,2017,SPAIN,female,36425.13
2367,alice,brown,alice.brown@gmail.com,2012,FRANCE,male,45727.24
1777,hugo,miller,hugo.miller@example.com,1989,GERMANY,male,33931.0
3729,bob,garcia,bob.garcia..@example.com,1990,DE,male,17686.82
480,frank,davis,frank.davis@yahoo.com,1990,FR,female,54831.11
3273,charlie,davis,charlie.davis@hotmail.com,1962,ES,female,48864.29
4875,bob,garcia,bob.garcia@yahoo.com,1988,FR,female,12341.6
2688,diana,smith,diana.smith@gmail.com,1947,FR,male,33267.04
2593,hugo,johnson,hugo.johnson@gmail.com,1943,FRANCE,female,14159.54
4265,diana,davis,diana.davis@yahoo.com,2021,SPAIN,female,24491.94
686,charlie,garcia,charlie.garcia@hotmail.com,1983,DE,male,37127.52
3114,alice,davis,alice.davis@hotmail.com,1945,FR,male,9660.44
4031,hugo,brown,hugo.brown@example.com,1982,DE,female,33613.15
2181,alice,garcia,alice.garcia@example.com,2008,ES,female,27625.42
1613,diana,jones,diana.jones@example.com,1964,GERMANY,male,33143.01
2880,diana,jones,diana.jones@hotmail.com,1943,GERMANY,male,7456.94
3021,grace,davis,grace.davis@hotmail.com,1987,DE,male,29178.32
936,eva,brown,eva.brown..@yahoo.com,1977,DE,male,34304.34
624,charlie,miller,charlie.miller@gmail.com,1957,ES,female,47591.35
1110,hugo,williams,hugo.williams@gmail.com,1990,GERMANY,female,7888.02
2166,hugo,miller,hugo.miller@hotmail.com,1986,FRANCE,male,6061.59
99,diana,brown,diana.brown@example.com,1965,FRANCE,female,53312.41
3669,alice,davis,alice.davis@yahoo.com,2002,ES,male,28973.3
2567,frank,williams,frank.williams@gmail.com,1962,SPAIN,female,47397.6
3652,alice,davis,alice.davis..@gmail.com,1973,DE,male,52001.74
2809,eva,jones,eva.jones..@yahoo.com,1976,DE,female,34799.48
395,frank,davis,frank.davis@hotmail.com,1964,DE,female,30884.76
1036,charlie,smith,charlie.smith@gmail.com,1944,ES,male,31093.11
3622,hugo,smith,hugo.smith@hotmail.com,1985,FR,male,41598.6
1629,diana,miller,diana.miller..@example.com,1944,ES,female,13181.34
2689,diana,brown,diana.brown@hotmail.com,2016,SPAIN,female,37133.83
1512,bob,williams,bob.williams@hotmail.com,2024,DE,male,46916.7
1805,hugo,jones,hugo.jones@gmail.com,1968,ES,male,948.71
3293,diana,williams,diana.williams@hotmail.com,1987,FR,male,31543.76
4573,charlie,jones,charlie.jones@hotmail.com,1982,FR,male,10635.87
1443,charlie,smith,charlie.smith@yahoo.com,1963,SPAIN,female,55180.12
