id,first_name,last_name,email,birth_year,country,gender,income
4040,Frank,Williams,frank.williams@example.com,2020,es,Female,21753.16
3816,Frank,Jones,frank.jones@hotmail.com,1973,ES,Male,14935.64
849,Hugo,Johnson,hugo.johnson@gmail.com,2013,France,Female,16131.54
4864,Frank,Davis,frank.davis@yahoo.com,,es,,31497.39
80,Alice,Garcia,alice.garcia@yahoo.com,,DE,F,31853.22
2481,Frank,Smith,frank.smith..@hotmail.com,2001,ES,,9291.02
3540,Grace,Miller,grace.miller@hotmail.com,2018,Germany,M,43150.71
2499,Hugo,Miller,hugo.miller@yahoo.com,1984,DE,F,19614.74
4594,Charlie,Davis,charlie.davis@hotmail.com,1949,ES,Male,40901.91
4303,Frank,Miller,frank.miller@example.com,2023,Spain,,49499.81
765,Diana,Jones,diana.jones@hotmail.com,2025,FR,,36539.63
34,Charlie,Williams,charlie.williams@yahoo.com,1999,Spain,M,21917.37
2374,Grace,Williams,grace.williams@yahoo.com,1974,DE,,26434.75
2971,Bob,Williams,bob.williams@gmail.com,1993,DE,,39892.97
1774,Alice,Smith,alice.smith@yahoo.com,1961,ES,Male,-7470.92
684,Grace,Davis,grace.davis@example.com,1945,DE,,33869.64
3780,Alice,Miller,alice.miller@gmail.com,1969,DE,M,26563.78
255,Hugo,Johnson,hugo.johnson@hotmail.com,,France,Female,37624.03
2723,Diana,Brown,diana.brown..@gmail.com,1947,de,Female,30928.25
3756,Diana,Smith,diana.smith@yahoo.com,2025,de,F,42138.97
4536,Hugo,Johnson,hugo.johnson@hotmail.com,2002,Spain,F,35395.21
3734,Eva,Garcia,eva.garcia@hotmail.com,1987,es,Female,49116.43
1778,Diana,Jones,diana.jones@example.com,1953,FR,M,756.57
1616,,,,1943,,,45531.65
3654,Bob,Miller,bob.miller@hotmail.com,1992,France,F,36543.54
4559,Diana,Davis,diana.davis@example.com,1988,DE,Male,56632.36
498,Grace,Garcia,grace.garcia..@example.com,1972,DE,,14682.56
4995,Eva,Miller,eva.miller@yahoo.com,,fr,,57780.6
997,Eva,Smith,eva.smith@gmail.com,,es,,24913.17
3743,Grace,Williams,grace.williams@hotmail.com,2002,DE,F,22272.44
